Date	SPY
1995-05-17	31.604862
1995-05-18	31.146816
1995-05-19	31.165501
1995-05-22	31.511393
1995-05-23	31.801151
1995-05-24	31.782452
1995-05-25	31.810507
1995-05-26	31.44593
1995-05-30	31.436581
1995-05-31	32.090939
1995-06-01	32.006783
1995-06-02	32.034863
1995-06-05	32.231152
1995-06-06	32.175076
1995-06-07	32.006783
1995-06-08	31.932014
1995-06-09	31.745075
1995-06-12	31.922668
1995-06-13	32.268562
1995-06-14	32.240498
1995-06-15	32.380714
1995-06-16	32.476849
1995-06-19	32.843567
1995-06-20	32.758926
1995-06-21	32.740131
1995-06-22	33.172657
1995-06-23	33.106827
1995-06-26	32.711918
1995-06-27	32.646084
1995-06-28	32.81535
1995-06-29	32.758926
1995-06-30	32.740131
1995-07-03	32.862354
1995-07-05	32.984589
1995-07-06	33.407707
1995-07-07	33.558147
1995-07-10	33.576962
1995-07-11	33.417118
1995-07-12	33.830833
1995-07-13	33.755611
1995-07-14	33.72739
1995-07-17	33.915462
1995-07-18	33.623966
1995-07-19	33.257263
1995-07-20	33.379513
1995-07-21	33.341896
1995-07-24	33.58638
1995-07-25	33.840225
1995-07-26	33.812031
1995-07-27	34.094124
1995-07-28	33.877846
1995-07-31	33.793201
1995-08-01	33.736805
1995-08-02	33.661587
1995-08-03	33.652172
1995-08-04	33.6898
1995-08-07	33.764992
1995-08-08	33.764992
1995-08-09	33.755611
1995-08-10	33.680389
1995-08-11	33.492329
1995-08-14	33.793201
1995-08-15	33.72739
1995-08-16	33.821426
1995-08-17	33.764992
1995-08-18	33.802605
1995-08-21	33.708611
1995-08-22	33.77441
1995-08-23	33.652172
1995-08-24	33.6898
1995-08-25	33.877846
1995-08-28	33.755611
1995-08-29	33.840225
1995-08-30	33.915462
1995-08-31	33.943672
1995-09-01	34.094124
1995-09-05	34.413807
1995-09-06	34.47961
1995-09-07	34.498425
1995-09-08	34.630062
1995-09-11	34.724094
1995-09-12	34.883942
1995-09-13	35.0438
1995-09-14	35.363461
1995-09-15	35.353706
1995-09-18	35.221355
1995-09-19	35.391514
1995-09-20	35.561676
1995-09-21	35.268639
1995-09-22	35.278084
1995-09-25	35.221355
1995-09-26	35.211933
1995-09-27	35.183567
1995-09-28	35.448231
1995-09-29	35.382076
1995-10-02	35.202473
1995-10-03	35.240288
1995-10-04	35.202473
1995-10-05	35.306465
1995-10-06	35.334805
1995-10-09	35.041759
1995-10-10	35.022869
1995-10-11	35.13628
1995-10-12	35.353706
1995-10-13	35.467148
1995-10-16	35.297016
1995-10-17	35.533325
1995-10-18	35.63731
1995-10-19	35.807457
1995-10-20	35.590038
1995-10-23	35.514416
1995-10-24	35.552223
1995-10-25	35.259182
1995-10-26	34.93779
1995-10-27	35.202473
1995-10-30	35.429363
1995-10-31	35.278084
1995-11-01	35.561676
1995-11-02	35.788536
1995-11-03	35.835815
1995-11-06	35.712936
1995-11-07	35.580582
1995-11-08	35.90197
1995-11-09	36.034317
1995-11-10	36.015408
1995-11-13	35.977608
1995-11-14	35.741264
1995-11-15	36.100502
1995-11-16	36.299007
1995-11-17	36.412449
1995-11-20	36.223389
1995-11-21	36.51643
1995-11-22	36.403
1995-11-24	36.497494
1995-11-27	36.506973
1995-11-28	36.894527
1995-11-29	36.932346
1995-11-30	36.847267
1995-12-01	36.894527
1995-12-04	37.348267
1995-12-05	37.594044
1995-12-06	37.679123
1995-12-07	37.480598
1995-12-08	37.603504
1995-12-11	37.764206
1995-12-12	37.650764
1995-12-13	37.8871
1995-12-14	37.612938
1995-12-15	37.626724
1995-12-18	36.90387
1995-12-19	37.293812
1995-12-20	36.932411
1995-12-21	37.122631
1995-12-22	37.255772
1995-12-26	37.436493
1995-12-27	37.417488
1995-12-28	37.379425
1995-12-29	37.426991
1996-01-02	37.826458
1996-01-03	37.931072
1996-01-04	37.569656
1996-01-05	37.493565
1996-01-08	37.636227
1996-01-09	36.989449
1996-01-10	36.504387
1996-01-11	36.723137
1996-01-12	36.666092
1996-01-15	36.589993
1996-01-16	37.037014
1996-01-17	36.922886
1996-01-18	37.046539
1996-01-19	37.293812
1996-01-22	37.303333
1996-01-23	37.388927
1996-01-24	37.693291
1996-01-25	37.560131
1996-01-26	37.88353
1996-01-29	38.035709
1996-01-30	38.359104
1996-01-31	38.758587
1996-02-01	38.901245
1996-02-02	38.739552
1996-02-05	39.053406
1996-02-06	39.424355
1996-02-07	39.65263
1996-02-08	40.080647
1996-02-09	40.07114
1996-02-12	40.375473
1996-02-13	40.28989
1996-02-14	39.93795
1996-02-15	39.69067
1996-02-16	39.528988
1996-02-20	39.139027
1996-02-21	39.6241
1996-02-22	40.251842
1996-02-23	40.13773
1996-02-26	39.567039
1996-02-27	39.443382
1996-02-28	39.262665
1996-02-29	38.882229
1996-03-01	39.50045
1996-03-04	39.728722
1996-03-05	40.099663
1996-03-06	39.74773
1996-03-07	39.947483
1996-03-08	38.653946
1996-03-11	39.10096
1996-03-12	38.7966
1996-03-13	39.062923
1996-03-14	39.2341
1996-03-15	39.20776
1996-03-18	39.962502
1996-03-19	39.876503
1996-03-20	39.828751
1996-03-21	39.733208
1996-03-22	39.838291
1996-03-25	39.761875
1996-03-26	39.952946
1996-03-27	39.589909
1996-03-28	39.74276
1996-03-29	39.551678
1996-04-01	40.010262
1996-04-02	40.086712
1996-04-03	40.086712
1996-04-04	40.058022
1996-04-08	39.370186
1996-04-09	39.217323
1996-04-10	38.519909
1996-04-11	38.472141
1996-04-12	38.959377
1996-04-15	39.284195
1996-04-16	39.398819
1996-04-17	39.303307
1996-04-18	39.360615
1996-04-19	39.456177
1996-04-22	39.761875
1996-04-23	39.886059
1996-04-24	39.74276
1996-04-25	39.924274
1996-04-26	40.010262
1996-04-29	40.010262
1996-04-30	39.981594
1996-05-01	40.067585
1996-05-02	39.37973
1996-05-03	39.322418
1996-05-06	39.284195
1996-05-07	39.121792
1996-05-08	39.609016
1996-05-09	39.580338
1996-05-10	39.972034
1996-05-13	40.573929
1996-05-14	40.822311
1996-05-15	40.774548
1996-05-16	40.860512
1996-05-17	41.080254
1996-05-20	41.357311
1996-05-21	41.299995
1996-05-22	41.691685
1996-05-23	41.519722
1996-05-24	41.682144
1996-05-28	41.261787
1996-05-29	40.984722
1996-05-30	41.194901
1996-05-31	40.889179
